Time(s),Type,X,Y,Z,Magnitude
0.000,GYRO,-0.102236,-0.036209,0.169329,0.201086
0.000,ACCL,-9.733813,0.484412,-0.920863,9.789268
0.001,GYRO,-0.106496,-0.039404,0.174654,0.208322
0.002,GYRO,-0.101171,-0.034079,0.179979,0.209259
0.004,GYRO,-0.102236,-0.033014,0.182109,0.211437
0.005,ACCL,-9.729017,0.426859,-0.899281,9.779810
0.005,GYRO,-0.103301,-0.033014,0.182109,0.211954
0.006,GYRO,-0.094782,-0.028754,0.190628,0.214824
0.007,GYRO,-0.094782,-0.027689,0.188498,0.212795
0.009,GYRO,-0.095847,-0.029819,0.190628,0.215441
0.010,ACCL,-9.736211,0.294964,-0.908873,9.782988
0.010,GYRO,-0.092652,-0.028754,0.194888,0.217698
0.011,GYRO,-0.096912,-0.027689,0.194888,0.219408
0.012,GYRO,-0.092652,-0.024494,0.193823,0.216222
0.014,GYRO,-0.093717,-0.024494,0.197018,0.219543
0.015,ACCL,-9.726619,0.208633,-0.925659,9.772793
0.015,GYRO,-0.093717,-0.021299,0.203408,0.224969
0.016,GYRO,-0.094782,-0.017039,0.204473,0.226016
0.017,GYRO,-0.091587,-0.014909,0.206603,0.226484
0.018,GYRO,-0.100106,-0.014909,0.207668,0.231018
0.020,ACCL,-9.695444,0.105516,-0.923261,9.739875
0.020,GYRO,-0.086262,-0.010650,0.212993,0.230044
0.021,GYRO,-0.085197,-0.006390,0.212993,0.229489
0.022,GYRO,-0.089457,-0.006390,0.211928,0.230123
0.023,GYRO,-0.084132,-0.004260,0.214058,0.230037
0.025,ACCL,-9.700240,-0.043165,-0.865707,9.738889
0.025,GYRO,-0.079872,-0.003195,0.218317,0.232491
0.026,GYRO,-0.078807,-0.001065,0.216187,0.230106
0.027,GYRO,-0.078807,0.001065,0.214058,0.228106
0.028,GYRO,-0.074547,0.004260,0.219382,0.231741
0.030,ACCL,-9.685851,-0.177458,-0.832134,9.723150
0.030,GYRO,-0.075612,0.006390,0.222577,0.235157
0.031,GYRO,-0.075612,0.008520,0.222577,0.235224
0.032,GYRO,-0.075612,0.011715,0.220447,0.233348
0.033,GYRO,-0.077742,0.011715,0.222577,0.236054
0.035,ACCL,-9.685851,-0.278177,-0.774580,9.720755
0.035,GYRO,-0.074547,0.011715,0.221512,0.234013
0.036,GYRO,-0.070288,0.010650,0.221512,0.232640
0.037,GYRO,-0.064963,0.013845,0.221512,0.231256
0.038,GYRO,-0.067093,0.013845,0.217252,0.227797
0.039,ACCL,-9.657074,-0.422062,-0.705036,9.691971
0.039,GYRO,-0.066028,0.017039,0.221512,0.231771
0.041,GYRO,-0.066028,0.019169,0.224707,0.234990
0.042,GYRO,-0.064963,0.018104,0.220447,0.230532
0.043,GYRO,-0.061768,0.022364,0.219382,0.229007
0.044,ACCL,-9.637890,-0.501199,-0.657074,9.673255
0.044,GYRO,-0.057508,0.020234,0.218317,0.226670
0.046,GYRO,-0.056443,0.022364,0.220447,0.228655
0.047,GYRO,-0.054313,0.026624,0.222577,0.230650
0.048,GYRO,-0.047923,0.028754,0.218317,0.225357
0.049,ACCL,-9.640288,-0.561151,-0.604317,9.675497
0.049,GYRO,-0.046858,0.029819,0.222577,0.229402
0.051,GYRO,-0.045793,0.031949,0.217252,0.224313
0.052,GYRO,-0.044728,0.031949,0.216187,0.223066
0.053,GYRO,-0.040469,0.028754,0.216187,0.221814
0.054,ACCL,-9.616307,-0.640288,-0.589928,9.655638
0.054,GYRO,-0.038339,0.029819,0.215122,0.220537
0.055,GYRO,-0.036209,0.033014,0.212993,0.218556
0.057,GYRO,-0.034079,0.033014,0.212993,0.218213
0.058,GYRO,-0.036209,0.029819,0.214058,0.219137
0.059,ACCL,-9.625899,-0.697842,-0.537170,9.666099
0.059,GYRO,-0.038339,0.030884,0.209798,0.215496
0.060,GYRO,-0.038339,0.029819,0.210863,0.216384
0.062,GYRO,-0.037274,0.035144,0.216187,0.222174
0.063,GYRO,-0.036209,0.035144,0.210863,0.216816
0.064,ACCL,-9.645084,-0.721823,-0.585132,9.689739
0.064,GYRO,-0.039404,0.035144,0.207668,0.214275
0.065,GYRO,-0.041534,0.033014,0.207668,0.214338
0.067,GYRO,-0.046858,0.035144,0.207668,0.215770
0.068,GYRO,-0.047923,0.036209,0.207668,0.216180
0.069,ACCL,-9.664269,-0.779376,-0.597122,9.714014
0.069,GYRO,-0.051118,0.037274,0.206603,0.216072
0.070,GYRO,-0.055378,0.039404,0.204473,0.215473
0.072,GYRO,-0.063898,0.036209,0.202343,0.215260
0.073,GYRO,-0.066028,0.039404,0.202343,0.216460
0.074,ACCL,-9.637890,-0.808153,-0.606715,9.690724
0.074,GYRO,-0.071353,0.038339,0.200213,0.215977
0.075,GYRO,-0.076677,0.040469,0.200213,0.218180
0.076,GYRO,-0.079872,0.042599,0.199148,0.218756
0.078,GYRO,-0.083067,0.037274,0.203408,0.222855
0.079,ACCL,-9.642686,-0.860911,-0.604317,9.699884
0.079,GYRO,-0.085197,0.041534,0.201278,0.222478
0.080,GYRO,-0.082002,0.045793,0.199148,0.220185
0.081,GYRO,-0.080937,0.047923,0.195953,0.217359
0.083,GYRO,-0.079872,0.042599,0.194888,0.214885
0.084,ACCL,-9.700240,-0.968825,-0.527578,9.762767
0.084,GYRO,-0.077742,0.043663,0.193823,0.213349
